id,title,link,language,file-location,difficulty,date
704,Binary Search,https://leetcode.com/problems/binary-search/,Python,./python/0704.binary-search.py,Easy,03-24-2023
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,Python,./python/0977.squares-of-a-sorted-array.py,Easy,03-24-2023
278,First Bad Version,https://leetcode.com/problems/first-bad-version/,Python,./python/0278.first-bad-version.py,Easy,03-24-2023
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Python,./python/0035.search-insert-position.py,Easy,03-24-2023
148,Sort List,https://leetcode.com/problems/sort-list/,Python,./python/0148.sort-list.py,Medium,03-24-2023
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Python,./python/0189.rotate-array.py,Medium,03-24-2023
283,Move Zeros,https://leetcode.com/problems/move-zeroes/,Python,./python/0283.move-zeroes.py,Easy,03-25-2023
167,Two Sum II Input Array is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Python,./python/0167.two-sum-ii-input-array-is-sorted.py,Medium,03-25-2023
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Python,./python/0151.reverse-words-in-a-string.py,Medium,03-25-2023
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Python,./python/0165.compare-version-numbers.py,Medium,03-25-2023
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,Python,./python/0142.linked-list-cycle-ii.py,Medium,03-26-2023
